_Id,_UserId,_Name,_Date,_Class,_TagBased
198,19,Custodian,2017-06-27T18:25:30.453,3,False
199,51,Informed,2017-06-27T18:26:17.343,3,False
200,75,Autobiographer,2017-06-27T18:38:30.043,3,False
201,12,Editor,2017-06-27T18:38:30.043,3,False
202,45,Student,2017-06-27T18:38:30.043,3,False
204,71,Supporter,2017-06-27T18:38:30.043,3,False
205,71,Custodian,2017-06-27T18:38:30.043,3,False
206,52,Critic,2017-06-27T18:43:29.020,3,False
207,18,Custodian,2017-06-27T18:43:29.020,3,False
208,77,Autobiographer,2017-06-27T18:48:29.010,3,False
209,78,Autobiographer,2017-06-27T18:48:29.010,3,False
210,59,Editor,2017-06-27T18:48:29.010,3,False
211,73,Student,2017-06-27T18:48:29.010,3,False
212,78,Supporter,2017-06-27T18:48:29.010,3,False
213,73,Custodian,2017-06-27T18:48:29.010,3,False
214,19,Informed,2017-06-27T18:51:46.047,3,False
215,79,Autobiographer,2017-06-27T18:53:49.770,3,False
216,80,Autobiographer,2017-06-27T18:53:49.770,3,False
217,81,Autobiographer,2017-06-27T18:53:49.770,3,False
218,46,Scholar,2017-06-27T18:53:49.770,3,False
219,59,Teacher,2017-06-27T18:53:49.770,3,False
220,52,Informed,2017-06-27T18:54:42.397,3,False
221,82,Autobiographer,2017-06-27T18:58:49.677,3,False
222,83,Autobiographer,2017-06-27T18:58:49.677,3,False
223,81,Supporter,2017-06-27T18:58:49.677,3,False
224,85,Autobiographer,2017-06-27T19:14:33.117,3,False
225,86,Autobiographer,2017-06-27T19:14:33.117,3,False
226,46,Commentator,2017-06-27T19:14:33.117,3,False
227,65,Student,2017-06-27T19:14:33.117,3,False
228,71,Student,2017-06-27T19:14:33.117,3,False
229,30,Student,2017-06-27T19:19:33.227,3,False
231,3,Quorum,2017-06-27T19:22:09.777,3,False
232,32,Quorum,2017-06-27T19:22:09.777,3,False
233,36,Quorum,2017-06-27T19:22:09.777,3,False
234,25,Quorum,2017-06-27T19:22:09.777,3,False
236,69,Quorum,2017-06-27T19:22:09.777,3,False
237,18,Quorum,2017-06-27T19:22:09.777,3,False
238,76,Precognitive,2017-06-27T19:22:09.777,3,False
239,79,Precognitive,2017-06-27T19:22:09.777,3,False
240,86,Precognitive,2017-06-27T19:22:09.777,3,False
241,77,Precognitive,2017-06-27T19:22:09.777,3,False
242,25,Talkative,2017-06-27T19:22:09.777,3,False
243,79,Supporter,2017-06-27T19:24:33.157,3,False
244,31,Teacher,2017-06-27T19:24:33.157,3,False
245,65,Teacher,2017-06-27T19:24:33.157,3,False
246,81,Custodian,2017-06-27T19:24:33.157,3,False
247,87,Autobiographer,2017-06-27T19:29:40.703,3,False
248,25,Mortarboard,2017-06-27T19:27:37.523,3,False
249,79,Teacher,2017-06-27T19:29:40.703,3,False
250,71,Editor,2017-06-27T19:34:40.730,3,False
251,81,Student,2017-06-27T19:34:40.730,3,False
252,19,Commentator,2017-06-27T19:39:40.763,3,False
253,24,Supporter,2017-06-27T19:39:40.763,3,False
254,30,Supporter,2017-06-27T19:39:40.763,3,False
255,72,Supporter,2017-06-27T19:39:40.763,3,False
256,30,Custodian,2017-06-27T19:39:40.763,3,False
257,90,Informed,2017-06-27T19:41:48.373,3,False
258,88,Autobiographer,2017-06-27T19:44:46.527,3,False
259,89,Autobiographer,2017-06-27T19:44:46.527,3,False
260,90,Autobiographer,2017-06-27T19:44:46.527,3,False
261,30,Editor,2017-06-27T19:44:46.527,3,False
262,81,Editor,2017-06-27T19:44:46.527,3,False
263,30,Organizer,2017-06-27T19:44:46.527,3,False
264,77,Supporter,2017-06-27T19:44:46.527,3,False
265,91,Autobiographer,2017-06-27T19:49:46.567,3,False
266,89,Supporter,2017-06-27T19:49:46.567,3,False
267,89,Teacher,2017-06-27T19:49:46.567,3,False
268,16,Commentator,2017-06-27T19:54:46.557,3,False
270,46,Organizer,2017-06-27T19:54:46.557,3,False
271,59,Supporter,2017-06-27T19:54:46.557,3,False
272,52,Custodian,2017-06-27T19:54:46.557,3,False
273,72,Editor,2017-06-27T19:59:46.597,3,False
274,72,Student,2017-06-27T19:59:46.597,3,False
275,52,Custodian,2017-06-27T19:59:46.597,3,False
